Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Fred West and Rosemary West,United Kingdom,1967,1987,12,30,"Mainly targeted young women but were also found guilty of murdering two of their own daughters. Also found guilty of raping another daughter. Buried the victims around their house and local area of Gloucester. Shortly before he killed himself in 1995, Fred West said there were more victims. At one point he confessed to killing up to 30.",Europe,United Kingdom,Couple,1960s
Briley Brothers,United States,1971,1979,12,12,"Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia.",North America,United States,Gang,1970s
"John Justin Bunting, Robert Joe Wagner and James Spyridon Vlassakis",Australia,1992,1999,12,12,"The bodies of eight victims were found in plastic barrels in a disused bank vault in Snowtown, South Australia. Bunting was found guilty of 11 murders, Wagner pleaded guilty to three and was convicted of a further seven murders.",Oceania,Australia,Male Group,1990s
Mailoni Brothers,Zambia,2007,2013,12,12,Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.,Africa,Zambia,Gang,2000s
Leonard Lake and Charles Ng,United States,1982,1985,11,25,"Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake killed himself upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch.",North America,United States,Male Group,1980s
Bloody Benders,United States,1871,1873,11,20,"The Bender family, more well known as the Bloody Benders, were a family of serial killers in Labette County, Kansas, United States, from May 1871 to December 1872. Estimates report that the Benders killed at least a dozen travelers, and perhaps as many as twenty before they were discovered. The family's fate remains unknown, with theories ranging from a lynching to a successful escape.",North America,United States,Gang,1870s
Shen Changyin and Shen Changping,China,1999,2004,11,11,Found guilty of the murders of 11 sex workers. They were executed in 2006.[citation needed],Asia,China,Male,1990s
Polatbay Berdaliyev and Abduseit Ormanov,"Uzbekistan, Kazakhstan",2011,2012,11,11,"Raped, robbed and murdered women along desolate roads; both sentenced to life imprisonment in both countries.",Asia,Multiple Countries,Male Group,2010s
Wolfgang Abel and Marco Furlan,"Italy, West Germany, Netherlands",1977,1984,10,27,"The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27).",Europe,Multiple Countries,Male Group,1970s
Juan Carlos Hernández and Patricia Martínez,Mexico,2012,2018,10,20,"Known as the ""Monsters of Ecatepec""; couple who raped, murdered and cannibalized women.",North America,Mexico,Couple,2010s
Hillside Stranglers,United States,1977,1979,10,10,"Initially believed to be one person, two perpetrators were eventually discovered to be cousins Kenneth Bianchi and Angelo Buono Jr. Convicted of kidnapping, raping, torturing and murdering 10 women and girls ranging in age from 12 to 28.",North America,United States,Gang,1970s
Joshi-Abhyankar serial murderers,India,1976,1977,10,10,"Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983.",Asia,India,Gang,1970s
Gerald and Charlene Gallego,United States,1978,1980,10,10,"Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.",North America,United States,Couple,1970s
Viña del Mar psychopaths,Chile,1980,1981,10,10,"Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile.",South America,Chile,Male,1980s
Yevgeny Nagorny and Sergei Stavitsky,Russia,1998,2007,10,10,Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.,Europe,Russia,Male Group,1990s
National Socialist Underground,Germany,2000,2007,10,10,"Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects killed themselves and a third, Beate Zschäpe, was apprehended in 2011.",Europe,Germany,Gang,2000s
The Manson Family cult killings,United States,1967,1969,9,9,"A California desert cult formed by Charles Manson in 1967, the 'Manson Family' committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter.",North America,United States,Gang,1960s
Song Jinghua and Yan Jinguang,China,2005,2007,9,9,"Robbed and killed women in Beijing out of revenge for Song's brother, who was previously executed for an unrelated crime.",Asia,China,Male Group,2000s
Tadeusz Grzesik and the Bureaucrats Gang,Poland,1991,2007,8,20,"Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices.",Europe,Poland,Gang,1990s
Edgar Álvarez Cruz and Francisco Granados,Mexico,1993,2003,9,14,"Kidnapped, drugged, raped and then killed women in cotton fields.",North America,Mexico,Male Group,1990s
The Ciudad Juárez Rebels,Mexico,1995,1996,8,12,"Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif.",North America,Mexico,Gang,1990s
The Hernández Brothers Sect,Mexico,1963,1972,8,8,"Originally a scam intended to extort money and sexual favors from the poor, illiterate inhabitants of the small village of Yerba Buena, who were promised favors from ""Inca gods"" in the mountains, the cult came to include Aztec-inspired human sacrifices after prostitute Magdalena Solís took over as high priestess. 15 people were sentenced to 30 years in prison for their participation in the ritual murders of seven villagers and one police officer.",North America,Mexico,Gang,1960s
Rudolfo Infante and Anna Villeda,Mexico,1991,2000,8,8,Responsible for 8 murders.,North America,Mexico,Couple,1990s
Dale Hausner and Samuel Dieteman,United States,2006,2015,8,8,"Known as the ""Serial Shooter"". Responsible for 8 murders in random drive-by shootings in 2006 in Phoenix, Arizona.",North America,United States,Male Group,2000s
Futoshi Matsunaga and Junko Ogata,Japan,1996,1998,7,9,"Matsunaga and Ogata tortured and killed seven people who Matsunaga held prisoner through blackmail, six of whom were members of the Ogata family. Matsunaga was also investigated in the death of a woman he defrauded and one of her children but no evidence was found to prove he had murdered them.",Asia,Japan,Couple,1990s
Christopher Worrell and James Miller,Australia,1976,1977,7,7,"Known as the ""Truro Murderers""; Worrell was killed in a car accident and the killings stopped. Later Miller was convicted of killing seven people in 1976–1977.",Oceania,Australia,Male Group,1970s
Fa Ziying and Lao Rongzhi,China,1996,1999,7,7,"A pair of Chinese serial killers. The two met in 1993 and later became lovers. The prosecution accused them of kidnapping, robbery, and murder in Nanchang, Wenzhou, and Hefei from 1996 to 1999. A total of 7 people were killed. Ziying was arrested on 23 July 1999 in Hefei and subsequently sentenced to death, deprived of political rights for life, and fined by the Hefei Intermediate People's Court. On 28 December 1999, Ziying was executed by being shot.",Asia,China,Male Group,1990s
Johannes van Rooyen and Dumisani Makhubela,South Africa,2005,2014,7,7,"Two South African men who raped, robbed and murdered multiple victims, including a family of four. Sentenced to four centuries in prison after a two-year trial.",Africa,South Africa,Male Group,2000s
Auto Shankar's Gang,India,1988,1989,6,9,"Nine men who collaborated to abduct and murder at least 6 teenage girls in Chennai; their bodies were cremated and thrown into the sea or buried under residential homes. Leader Auto Shankar and two accomplices were sentenced to death by hanging in 1991, his brother Auto Mohan to three consecutive life sentences in prison and five other collaborators to six months in prison.",Asia,India,Gang,1980s
Gert van Rooyen and Joey Haarhof,South Africa,1988,1989,6,8,Their victims were never found; the pair shot dead a police officer and then committed suicide when faced with arrest after the escape of their last kidnap victim.,Africa,South Africa,Male Group,1980s
Kiss brothers and Zsolt István Pető,Hungary,2008,2009,6,6,"A series of murders perpetrated by three Neo-Nazis (with an accomplice István Csaba Csontos) against people of Roma ethnicity, occurring between July 2008 and August 2009. It is regarded as one of the worst crimes in the country's history after the war.",Europe,Hungary,Male Group,2000s
Hermann Duft and Hans Wilhelm Bassenauer,Greece,1969,1978,6,6,"German serial killers who murdered six persons in Greece, within a short period in 1969, were captured, tried, sentenced to death and executed.",Europe,Greece,Male Group,1960s
David Alan Gore and Fred Waterfield,United States,1981,1983,6,6,Cousins connected to the murders of six females. Gore was executed in 2012 and Waterfield was sentenced to life imprisonment.,North America,United States,Male Group,1980s
Artyom Alexandrovich Anoufriev and Nikita Vakhtangovich Lytkin,Russia,2010,2011,6,6,Teenaged thrill-killers of random people.,Europe,Russia,Male Group,2010s
The Skin Hunters,Poland,,2002,5,620,"Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects. There are also suspicions that due to the heavy use of pancuronium bromide, scoline and potassium chloride in 1998–2001, the number of victims could be as high as 1200.",Europe,Poland,Gang,<NA>s
